[2024-08-13 18:47:45.741] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.745] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.749] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.754] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.758] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.762] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.768] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.772] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.778] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.783] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.787] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.794] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.800] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.804] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.808] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.812] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.816] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.820] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.825] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.832] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.837] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.841] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.845] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.850] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.854] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.858] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.864] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.870] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.875] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.879] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.883] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.887] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.891] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.898] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.903] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.908] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.912] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.916] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.920] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.924] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.929] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.933] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.938] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.941] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.945] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.949] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.954] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.958] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.962] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.966] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.971] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.974] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.978] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.983] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.987] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.991] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:45.995] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.000] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.004] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.008] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.012] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.016] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.021] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.028] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.032] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.037] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.041] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.047] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.051] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.058] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.062] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.066] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.071] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.075] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.079] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.086] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.091] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.095] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.100] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.104] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.108] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.115] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.120] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.124] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.129] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.136] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.141] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.145] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.150] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.154] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.158] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.162] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.166] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.171] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.178] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.182] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.187] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.191] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.195] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.200] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.205] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.211] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.216] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.220] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.225] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.231] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.235] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.240] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.245] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.250] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.257] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.261] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.266] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.270] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.274] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.278] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.283] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.290] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.295] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.300] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.304] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.308] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.313] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.319] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.324] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.329] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.333] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.337] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.341] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.346] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.351] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.355] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.361] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.366] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.371] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.375] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.380] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.385] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.390] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.396] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.400] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.405] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.410] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.415] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.420] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.425] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.430] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.435] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.445] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.450] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.455] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.461] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.467] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.474] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.478] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.483] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.488] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.493] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.498] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.505] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.510] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.515] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.520] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.525] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.529] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.534] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.538] [APP] [debug] v_x: 0, v_y: 0
[2024-08-13 18:47:46.543] [APP] [debug] v_x: 0, v_y: 0
