[2024-08-13 19:35:07.288] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.293] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.301] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.305] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.314] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.321] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.326] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.330] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.338] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.343] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.347] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.351] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.357] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.361] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.368] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.372] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.376] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.381] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.384] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.388] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.393] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.400] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.405] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.410] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.414] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.418] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.422] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.430] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.434] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.439] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.446] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.453] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.457] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.463] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.468] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.472] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.476] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.480] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.485] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.489] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.493] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.497] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.505] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.510] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.514] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.520] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.526] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.531] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.536] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.540] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.546] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.550] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.555] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.559] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.563] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.568] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.572] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.576] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.580] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.585] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.592] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.598] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.602] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.609] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.614] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.617] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.622] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.626] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.630] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.634] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.638] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.643] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.647] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.651] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.655] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.660] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.664] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.668] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.673] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.676] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.680] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.684] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.689] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.693] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.697] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.701] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.706] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.712] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.717] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.722] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.726] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.730] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.734] [APP] [debug] x: 5000, y: 0
[2024-08-13 19:35:07.738] [APP] [debug] x: 5000, y: 0
